Name,ERA,IP,Age,FIP,xFIP,K_rate,BB_rate,K_9,BB_9,H_9,HR_9,last_name
Max Fried,0.0,6.1,32,3.52,3.52,0.174,0.043,5.68,1.42,2.84,0.0,Fried
Logan Webb,10.8,5.0,29,2.23,2.23,0.26899999999999996,0.038,12.6,1.8,16.2,0.0,Webb
JT Brubaker,0.0,2.0,32,3.33,3.33,0.28600000000000003,0.14300000000000002,9.0,4.5,4.5,0.0,Brubaker
Jake Bird,0.0,0.2,30,0.83,0.83,0.5,0.0,13.5,0.0,0.0,0.0,Bird
Camilo Doval,0.0,1.0,28,3.83,3.83,0.0,0.0,0.0,0.0,0.0,0.0,Doval
Keaton Winn,0.0,1.0,28,2.83,2.83,0.5,0.25,18.0,9.0,0.0,0.0,Winn
Caleb Kilian,0.0,1.0,29,1.83,1.83,0.33299999999999996,0.0,9.0,0.0,0.0,0.0,Kilian
Brent Headrick,0.0,1.0,28,4.83,4.83,0.2,0.2,9.0,9.0,9.0,0.0,Headrick
