Rank,team,G,W,L,W-L%,SRS,SOS,Wconference,Lconference,Whome,Lhome,Waway,Laway,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
53,Cleveland State,21,7,14,0.333,-13.7,-2.31,3,7,5,4,1,9,1667,1774,840,546,1209,0.452,217,575,0.377,358,479,0.747,223,719,320,109,58,289,401
54,Coastal Carolina,22,13,9,0.591,-7.16,-5.25,6,4,6,3,6,6,1625,1588,895,559,1344,0.416,190,555,0.342,317,432,0.734,222,889,232,102,71,233,419
55,Colgate,22,13,9,0.591,-3.75,-2.95,7,2,6,3,4,6,1689,1626,895,635,1299,0.489,163,445,0.366,256,353,0.725,196,747,337,132,72,226,364
56,College of Charleston,21,13,8,0.619,-0.77,-1.57,6,2,9,2,2,4,1624,1587,850,543,1216,0.447,143,482,0.297,395,536,0.737,229,801,270,120,86,237,370
57,Colorado,20,12,8,0.6,10.46,5.86,2,5,9,4,1,3,1652,1560,805,575,1203,0.478,143,397,0.36,359,465,0.772,211,705,317,131,71,198,346
58,Colorado State,21,12,9,0.571,8.08,4.78,3,7,8,4,2,4,1607,1491,840,539,1090,0.494,218,539,0.404,311,406,0.766,191,686,331,115,38,257,339
59,Columbia,19,13,6,0.684,-0.92,-4.57,2,3,7,1,6,5,1529,1364,770,557,1148,0.485,154,429,0.359,261,358,0.729,247,790,310,110,67,254,317
60,Connecticut,21,20,1,0.952,23.39,8.96,10,0,11,1,6,0,1653,1350,850,600,1246,0.482,165,467,0.353,288,407,0.708,245,777,384,160,118,233,381
61,Coppin State,22,3,19,0.136,-28.03,-5.55,1,4,1,3,2,13,1441,1872,880,496,1234,0.402,142,449,0.316,307,442,0.695,241,701,262,147,58,348,408
62,Cornell,18,9,9,0.5,-3.52,-2.2,2,3,4,2,5,7,1657,1566,730,571,1160,0.492,251,620,0.405,264,351,0.752,193,656,398,102,50,224,352
63,Creighton,21,12,9,0.571,11.92,8.64,6,4,9,2,2,5,1642,1573,845,586,1266,0.463,214,617,0.347,256,339,0.755,211,755,342,118,58,230,301
64,Dartmouth,18,9,9,0.5,-6.0,-3.13,3,2,5,4,4,5,1412,1349,720,473,1046,0.452,196,512,0.383,270,379,0.712,182,681,264,88,71,226,287
65,Davidson,20,12,8,0.6,3.65,3.07,4,4,7,5,4,2,1430,1385,810,501,1108,0.452,175,483,0.362,253,380,0.666,196,653,261,141,79,215,338
66,Dayton,21,14,7,0.667,7.87,0.49,5,3,10,2,3,3,1610,1455,855,521,1154,0.451,158,485,0.326,410,546,0.751,189,694,302,200,93,250,346
67,Delaware,20,6,14,0.3,-8.33,-2.76,2,7,3,7,2,6,1315,1430,810,469,1058,0.443,169,469,0.36,208,285,0.73,133,632,254,109,68,243,284
68,Delaware State,20,5,15,0.25,-21.57,-7.88,0,5,4,4,1,10,1232,1423,805,451,1149,0.393,100,327,0.306,230,336,0.685,195,632,223,169,37,262,320
69,Denver,23,10,13,0.435,-6.83,-0.48,3,5,6,4,4,9,1918,1937,920,671,1396,0.481,202,527,0.383,374,486,0.77,245,777,263,107,48,241,398
70,DePaul,21,12,9,0.571,6.94,3.7,4,6,10,3,1,5,1527,1459,840,520,1174,0.443,161,470,0.343,326,467,0.698,210,707,331,140,80,254,384
71,Detroit Mercy,20,8,12,0.4,-9.75,-2.91,5,6,4,5,4,7,1550,1604,800,545,1268,0.43,133,414,0.321,327,431,0.759,275,780,261,118,59,237,399
72,Drake,22,12,10,0.545,1.26,-0.04,6,5,6,6,4,3,1702,1592,890,582,1294,0.45,207,587,0.353,331,462,0.716,206,794,304,139,68,222,377
73,Drexel,21,10,11,0.476,-4.27,-5.02,4,4,8,3,2,6,1449,1400,840,522,1198,0.436,175,498,0.351,230,360,0.639,248,754,294,137,85,259,355
74,Duke,20,19,1,0.95,30.66,9.66,8,0,10,0,6,0,1712,1292,800,586,1175,0.499,183,532,0.344,357,498,0.717,250,810,346,169,78,228,327
75,Duquesne,21,11,10,0.524,2.66,0.03,3,5,8,5,3,4,1747,1626,860,605,1267,0.478,198,562,0.352,339,483,0.702,224,772,359,161,62,286,431
76,East Carolina,21,6,15,0.286,-7.85,0.75,1,7,5,7,1,6,1435,1606,845,498,1234,0.404,102,385,0.265,337,483,0.698,259,763,236,134,84,267,347
77,East Tennessee State,21,15,6,0.714,1.79,-7.32,7,1,11,1,4,5,1634,1393,840,598,1219,0.491,157,471,0.333,281,375,0.749,204,729,308,197,78,218,336
78,East Texas A&M,21,8,13,0.381,-11.01,-0.22,3,8,4,3,3,10,1506,1581,840,537,1237,0.434,186,566,0.329,246,367,0.67,208,712,355,160,66,289,370
79,Eastern Illinois,21,9,12,0.429,-12.25,-2.69,5,5,8,2,1,10,1412,1462,850,504,1172,0.43,117,367,0.319,287,383,0.749,206,696,267,161,68,277,347
80,Eastern Kentucky,22,7,15,0.318,-8.44,-2.39,3,6,5,5,2,10,1764,1768,890,610,1404,0.434,248,706,0.351,296,410,0.722,295,804,312,157,69,265,405
81,Eastern Michigan,21,9,12,0.429,-4.62,-1.22,3,6,6,3,3,9,1506,1536,850,550,1235,0.445,129,392,0.329,277,385,0.719,221,754,276,133,82,250,374
82,Eastern Washington,20,5,15,0.25,-5.17,1.56,3,4,4,3,1,11,1521,1631,810,541,1194,0.453,144,423,0.34,295,396,0.745,216,638,258,128,57,260,365
83,Elon,21,12,9,0.571,-2.15,-2.94,4,4,7,4,5,5,1748,1651,850,617,1298,0.475,199,562,0.354,315,440,0.716,264,764,342,147,68,230,351
84,Evansville,21,5,16,0.238,-7.08,3.76,1,9,3,7,1,7,1423,1558,845,496,1161,0.427,153,483,0.317,278,389,0.715,182,700,286,119,76,289,363
85,Fairfield,22,13,9,0.591,-8.76,-9.57,5,6,9,2,4,7,1675,1595,885,607,1403,0.433,177,523,0.338,284,393,0.723,307,856,263,137,79,216,342
86,FDU,21,7,14,0.333,-15.11,-4.61,4,4,5,4,2,10,1452,1517,840,492,1209,0.407,183,588,0.311,285,402,0.709,260,753,259,111,37,252,370
87,Florida,21,15,6,0.714,25.26,10.73,6,2,9,1,3,2,1798,1493,840,630,1350,0.467,158,544,0.29,380,542,0.701,351,968,336,133,109,256,369
88,Florida A&M,18,8,10,0.444,-14.12,-4.49,5,2,5,2,2,8,1243,1379,725,439,1007,0.436,127,397,0.32,238,365,0.652,177,582,231,143,57,280,331
89,Florida Atlantic,21,14,7,0.667,7.76,2.34,6,2,9,1,3,4,1737,1548,845,622,1320,0.471,185,541,0.342,308,426,0.723,264,822,296,135,120,255,385
90,Florida Gulf Coast,21,8,13,0.381,-4.95,-1.06,2,6,6,6,2,7,1681,1678,850,604,1326,0.456,181,530,0.342,292,397,0.736,264,786,317,163,71,247,410
91,Florida International,21,10,11,0.476,-1.73,0.33,3,7,9,4,1,7,1738,1648,845,607,1319,0.46,163,463,0.352,361,535,0.675,276,810,333,210,102,270,389
92,Florida State,21,9,12,0.429,7.56,6.7,2,6,8,4,1,5,1689,1671,840,575,1368,0.42,218,699,0.312,321,454,0.707,282,781,309,180,78,256,403
93,Fordham,21,11,10,0.524,-2.37,-3.87,2,6,8,5,1,4,1497,1365,840,580,1294,0.448,143,489,0.292,194,281,0.69,280,845,314,142,47,245,318
94,Fresno State,20,9,11,0.45,3.45,4.24,3,6,7,6,1,5,1436,1414,800,496,1136,0.437,146,471,0.31,298,396,0.753,203,709,269,146,42,280,330
95,Furman,21,14,7,0.667,-2.22,-4.78,5,3,8,3,5,2,1631,1472,850,593,1253,0.473,195,610,0.32,250,379,0.66,252,828,352,116,67,257,302
96,Gardner-Webb,22,3,19,0.136,-24.81,-0.12,1,6,3,6,0,11,1506,1932,880,532,1277,0.417,152,499,0.305,290,411,0.706,201,694,225,135,53,313,389
97,George Mason,21,19,2,0.905,8.4,-1.1,7,1,14,0,3,2,1613,1399,840,536,1107,0.484,131,372,0.352,410,559,0.733,202,753,278,113,66,215,323
98,George Washington,21,13,8,0.619,11.88,1.78,4,4,9,2,2,3,1792,1533,840,617,1288,0.479,210,580,0.362,348,475,0.733,260,810,334,165,78,262,390
99,Georgetown,21,11,10,0.524,6.51,4.51,3,7,8,4,3,4,1581,1539,855,541,1233,0.439,135,422,0.32,364,489,0.744,240,763,307,145,86,206,378
100,Georgia,21,16,5,0.762,20.38,4.28,4,4,11,2,3,2,1954,1616,860,663,1403,0.473,195,610,0.32,433,573,0.756,287,855,312,185,152,234,357
101,Georgia Southern,22,13,9,0.591,-7.2,-6.5,5,4,8,3,5,4,1814,1767,895,601,1388,0.433,209,655,0.319,403,563,0.716,257,792,251,187,84,225,431
102,Georgia State,21,9,12,0.429,-9.88,-3.25,6,3,6,2,3,8,1493,1547,840,480,1241,0.387,189,578,0.327,344,438,0.785,220,752,250,152,64,247,394
103,Georgia Tech,21,11,10,0.524,4.65,3.32,2,6,10,4,1,4,1564,1536,845,557,1244,0.448,140,391,0.358,310,450,0.689,232,821,345,133,91,286,380
104,Gonzaga,22,21,1,0.955,27.46,5.1,9,0,11,0,5,0,1955,1463,885,746,1444,0.517,153,432,0.354,310,449,0.69,284,938,406,202,76,227,387
105,Grambling,18,8,10,0.444,-10.74,-4.99,2,3,5,1,1,9,1301,1317,720,429,953,0.45,111,341,0.326,332,460,0.722,177,575,209,157,53,275,345
106,Grand Canyon,20,13,7,0.65,9.95,4.2,6,3,9,2,3,3,1479,1364,805,504,1155,0.436,134,452,0.296,337,443,0.761,223,741,248,135,73,250,372
107,Green Bay,22,12,10,0.545,-5.91,-1.56,7,4,6,2,4,7,1633,1660,886,556,1147,0.485,157,450,0.349,364,496,0.734,165,696,303,95,63,239,376
108,Hampton,21,10,11,0.476,-7.4,-5.66,4,4,7,1,2,7,1487,1424,840,518,1203,0.431,132,449,0.294,319,443,0.72,263,774,258,144,76,242,393
109,Harvard,19,10,9,0.526,-3.01,-3.9,3,2,6,3,4,5,1361,1316,765,499,1061,0.47,148,400,0.37,215,272,0.79,161,596,267,142,62,206,270
110,Hawaii,19,15,4,0.789,8.59,-5.0,7,2,13,1,2,3,1528,1233,760,519,1105,0.47,142,444,0.32,348,477,0.73,224,766,276,129,75,256,332
111,High Point,22,18,4,0.818,7.34,-7.4,6,1,12,1,3,2,2042,1546,890,697,1362,0.512,210,560,0.375,438,602,0.728,252,805,386,239,82,202,401
112,Hofstra,21,13,8,0.619,1.42,-1.69,4,4,5,1,6,7,1626,1464,845,560,1243,0.451,203,535,0.379,303,405,0.748,257,804,280,107,77,227,366
113,Holy Cross,22,8,14,0.364,-12.97,-4.07,3,6,5,4,2,10,1472,1604,880,528,1207,0.437,149,475,0.314,267,374,0.714,167,682,235,130,32,244,339
114,Houston,20,18,2,0.9,24.41,7.41,6,1,10,0,3,1,1581,1241,805,569,1262,0.451,185,534,0.346,258,332,0.777,272,742,311,172,76,173,362
115,Houston Christian,21,8,13,0.381,-10.35,-3.56,4,8,6,4,2,8,1457,1564,845,512,1130,0.453,137,417,0.329,296,434,0.682,220,678,310,141,79,272,312
116,Howard,21,12,9,0.571,-9.83,-8.18,2,3,6,3,3,6,1554,1471,839,530,1209,0.438,128,400,0.32,366,515,0.711,257,756,311,190,69,285,423
117,Idaho,20,12,8,0.6,-1.37,-1.78,4,3,7,2,4,5,1599,1464,805,533,1181,0.451,211,583,0.362,322,434,0.742,215,741,266,126,44,224,372
118,Idaho State,21,10,11,0.476,-2.22,-0.67,3,5,6,3,3,7,1584,1548,846,536,1171,0.458,172,507,0.339,340,461,0.738,236,706,258,114,88,237,365
119,Illinois,20,17,3,0.85,25.81,8.66,8,1,10,1,5,0,1709,1366,800,576,1222,0.471,221,614,0.36,336,423,0.794,268,832,291,74,100,194,260
120,Illinois State,22,15,7,0.682,8.9,0.04,7,4,9,1,4,4,1704,1473,885,611,1284,0.476,185,525,0.352,297,429,0.692,230,821,297,132,52,244,381
121,Illinois-Chicago,22,12,10,0.545,1.26,-0.59,7,4,7,3,4,6,1660,1542,890,580,1294,0.448,138,428,0.322,362,490,0.739,290,794,322,183,87,268,376
122,Incarnate Word,21,9,12,0.429,-5.62,-1.5,4,8,8,2,0,9,1594,1523,840,563,1266,0.445,182,487,0.374,286,409,0.699,261,739,251,126,64,231,388
123,Indiana,21,14,7,0.667,19.17,7.74,5,5,11,2,2,4,1695,1455,840,567,1200,0.473,223,622,0.359,338,432,0.782,194,728,362,116,53,217,385
124,Indiana State,22,9,13,0.409,-3.33,0.02,2,9,7,3,2,9,1660,1654,900,603,1299,0.464,183,590,0.31,271,391,0.693,204,787,390,138,60,301,348
125,Iona,22,14,8,0.636,-5.84,-6.43,6,5,9,1,4,5,1621,1608,890,579,1321,0.438,207,587,0.353,256,370,0.692,203,776,313,156,70,262,344
126,Iowa,20,15,5,0.75,20.19,5.39,5,4,11,1,1,4,1553,1257,800,541,1073,0.504,163,437,0.373,308,398,0.774,181,613,322,156,51,212,364
127,Iowa State,20,18,2,0.9,26.25,5.55,5,2,11,0,3,2,1712,1298,800,616,1216,0.507,180,447,0.403,300,440,0.682,250,735,361,190,64,213,311
128,IU Indy,23,6,17,0.261,-13.13,-3.71,2,10,4,5,2,11,1947,2048,925,738,1616,0.457,228,717,0.318,243,337,0.721,273,751,476,222,76,277,506
129,Jackson State,20,6,14,0.3,-20.41,0.09,5,2,3,1,3,11,1338,1748,800,451,1165,0.387,159,511,0.311,277,361,0.767,187,634,219,124,52,288,386
130,Jacksonville,21,8,13,0.381,-10.78,-2.68,3,5,5,2,2,10,1540,1534,850,550,1213,0.453,167,504,0.331,273,391,0.698,234,712,271,152,62,256,393
131,Jacksonville State,20,11,9,0.55,-3.86,-2.98,6,3,8,4,3,4,1467,1326,800,493,1110,0.444,164,462,0.355,317,468,0.677,221,742,254,127,65,234,337
132,James Madison,21,10,11,0.476,-6.56,-4.31,3,6,7,2,2,9,1574,1605,845,535,1210,0.442,201,562,0.358,303,424,0.715,231,765,287,112,101,248,419
133,Kansas,20,15,5,0.75,22.91,11.96,5,2,9,1,3,3,1565,1346,810,554,1168,0.474,154,430,0.358,303,396,0.765,193,789,305,109,123,207,290
134,Kansas City,22,4,18,0.182,-16.1,-0.58,1,7,3,7,1,11,1566,1815,880,556,1312,0.424,148,473,0.313,306,438,0.699,242,751,264,141,65,300,373
135,Kansas State,21,10,11,0.476,10.65,7.46,1,7,8,5,1,5,1736,1669,840,628,1356,0.463,216,581,0.372,264,368,0.717,241,756,383,141,78,260,409
136,Kennesaw State,21,13,8,0.619,-0.66,-2.27,5,5,9,1,3,5,1828,1617,850,609,1361,0.447,209,595,0.351,401,578,0.694,325,921,314,151,122,266,428
137,Kent State,21,16,5,0.762,0.86,-1.87,7,2,11,2,3,3,1873,1714,865,618,1309,0.472,211,582,0.363,426,566,0.753,268,851,369,137,80,302,426
138,Kentucky,21,14,7,0.667,19.59,9.16,5,3,11,2,2,3,1705,1486,840,593,1272,0.466,174,513,0.339,345,472,0.731,252,803,344,162,102,220,364
139,La Salle,21,7,14,0.333,-3.83,3.62,3,5,5,3,1,8,1399,1519,840,489,1162,0.421,109,357,0.305,312,434,0.719,252,739,282,140,52,266,328
140,Lafayette,22,6,16,0.273,-12.67,-5.43,3,6,5,5,1,11,1542,1659,885,540,1283,0.421,175,511,0.342,287,414,0.693,213,736,295,128,52,235,383
141,Lamar,21,11,10,0.524,-3.82,-3.45,6,6,6,4,5,5,1525,1448,845,556,1264,0.44,155,450,0.344,258,360,0.717,272,788,317,157,104,257,375
142,Le Moyne,21,11,10,0.524,-8.78,-7.48,6,2,5,2,5,7,1567,1549,840,535,1156,0.463,169,473,0.357,328,451,0.727,190,725,296,127,81,272,376
143,Lehigh,22,9,13,0.409,-10.86,-6.06,5,4,6,4,2,8,1589,1637,910,560,1255,0.446,171,504,0.339,298,405,0.736,176,707,295,160,75,275,369
144,Liberty,20,17,3,0.85,5.54,-1.1,9,0,11,0,5,1,1588,1344,805,574,1101,0.521,214,525,0.408,226,325,0.695,121,614,352,137,74,174,273
145,Lindenwood,21,12,9,0.571,-7.11,-5.77,6,4,8,2,3,7,1694,1530,840,618,1311,0.471,125,413,0.303,333,487,0.684,266,831,333,198,94,289,352
146,Lipscomb,21,14,7,0.667,-1.04,-2.62,7,1,11,0,3,7,1715,1577,845,601,1321,0.455,235,633,0.371,278,362,0.768,211,758,389,158,62,248,344
147,Little Rock,20,9,11,0.45,-13.68,-6.13,6,3,5,2,4,9,1428,1521,800,528,1159,0.456,133,361,0.368,239,357,0.669,226,657,297,173,85,282,304
148,Long Beach State,21,8,13,0.381,-4.94,1.0,4,5,7,4,1,9,1575,1608,850,581,1265,0.459,145,443,0.327,268,366,0.732,203,691,296,149,61,256,410
149,Long Island University,20,12,8,0.6,-5.51,-4.26,6,1,5,1,7,7,1490,1515,805,559,1190,0.47,125,346,0.361,247,388,0.637,259,719,273,157,103,278,356
150,Longwood,22,12,10,0.545,-9.37,-7.95,4,3,9,2,2,7,1707,1608,895,590,1260,0.468,129,421,0.306,398,524,0.76,260,810,294,198,58,310,412
151,Louisiana,21,5,16,0.238,-14.34,-5.24,3,6,3,6,2,10,1262,1453,840,449,1137,0.395,163,512,0.318,201,297,0.677,189,628,221,111,73,245,398
152,Louisiana State,21,13,8,0.619,14.38,5.76,1,7,9,3,1,4,1730,1549,845,596,1224,0.487,141,428,0.329,397,519,0.765,227,785,305,134,88,227,380
153,Louisiana Tech,20,12,8,0.6,-5.61,-4.55,5,4,11,1,1,7,1369,1224,805,504,1150,0.438,114,373,0.306,247,381,0.648,260,792,240,138,86,234,318
154,Louisiana-Monroe,21,3,18,0.143,-20.71,-5.23,0,9,3,6,0,11,1487,1738,850,498,1220,0.408,169,508,0.333,322,449,0.717,183,686,263,134,78,277,281
155,Louisville,20,14,6,0.7,23.79,8.09,4,4,10,2,2,4,1720,1406,800,576,1247,0.462,238,677,0.352,330,429,0.769,249,813,350,145,66,231,383
156,Loyola (IL),22,5,17,0.227,-9.44,0.83,1,8,3,9,1,4,1479,1705,880,509,1223,0.416,177,577,0.307,284,415,0.684,252,760,306,85,85,287,370
157,Loyola (MD),22,8,14,0.364,-13.97,-8.47,4,5,6,4,1,9,1648,1672,885,572,1309,0.437,205,612,0.335,299,437,0.684,245,788,301,140,82,268,370
158,Loyola Marymount,23,11,12,0.478,1.25,1.61,2,8,8,6,2,5,1716,1641,935,619,1367,0.453,201,568,0.354,277,405,0.684,218,810,323,143,101,287,407
159,Maine,22,5,17,0.227,-15.87,-7.21,3,4,3,5,2,10,1349,1493,880,488,1111,0.439,125,403,0.31,248,385,0.644,160,640,260,168,81,289,364
160,Manhattan,22,8,14,0.364,-15.69,-6.16,4,7,5,4,1,10,1649,1783,895,567,1330,0.426,156,475,0.328,359,456,0.787,236,732,285,177,60,238,318
161,Marist,20,13,7,0.65,-0.57,-7.3,7,4,9,2,4,5,1415,1255,800,525,1169,0.449,135,422,0.32,230,292,0.788,192,719,316,147,53,230,339
162,Marquette,22,8,14,0.364,6.26,8.26,3,8,8,5,0,7,1679,1723,895,592,1382,0.428,174,570,0.305,321,478,0.672,269,778,340,207,65,241,380
163,Marshall,21,13,8,0.619,-0.43,-4.18,5,4,10,2,3,6,1693,1568,840,600,1300,0.462,216,589,0.367,277,378,0.733,254,821,358,129,120,260,429
164,Maryland,20,8,12,0.4,2.73,8.78,1,8,5,4,1,6,1459,1580,805,471,1171,0.402,173,537,0.322,344,470,0.732,248,715,212,107,51,251,362
165,Maryland-Baltimore County,19,12,7,0.632,-8.4,-10.23,5,1,8,2,4,5,1439,1337,770,519,1093,0.475,155,430,0.36,246,337,0.73,152,660,249,89,55,207,250
166,Maryland-Eastern Shore,21,8,13,0.381,-13.76,-2.66,4,0,5,1,2,12,1357,1499,855,508,1142,0.445,117,395,0.296,224,319,0.702,209,691,295,122,53,320,380
167,Massachusetts,22,13,9,0.591,-0.76,-3.76,4,6,8,3,2,4,1758,1644,885,627,1350,0.464,168,478,0.351,336,497,0.676,271,832,383,155,53,299,457
168,Massachusetts-Lowell,21,8,13,0.381,-15.16,-4.77,3,3,5,3,3,10,1575,1638,840,566,1221,0.464,127,386,0.329,316,477,0.662,247,770,266,111,70,278,318
169,McNeese State,21,17,4,0.81,9.22,-0.15,10,2,10,0,4,4,1745,1423,840,612,1274,0.48,140,437,0.32,381,494,0.771,282,762,307,224,92,209,409
170,Memphis,19,9,10,0.474,6.19,6.3,4,3,8,2,1,6,1391,1393,765,498,1154,0.432,135,419,0.322,260,377,0.69,250,705,268,177,81,276,375
171,Mercer,21,13,8,0.619,0.21,-2.13,5,3,9,0,4,8,1785,1581,840,627,1345,0.466,191,560,0.341,340,463,0.734,275,820,312,189,75,231,323
172,Mercyhurst,21,10,11,0.476,-10.35,-7.25,5,3,7,2,3,9,1393,1372,844,543,1200,0.453,124,378,0.328,183,271,0.675,186,662,312,161,85,216,367
173,Merrimack,22,13,9,0.591,-6.33,-4.24,9,2,7,0,5,7,1474,1520,880,477,1162,0.41,170,536,0.317,350,455,0.769,181,620,260,175,105,225,382
174,Miami (FL),21,17,4,0.81,17.36,2.03,6,2,12,1,4,1,1778,1456,840,648,1274,0.509,145,423,0.343,335,487,0.688,261,814,369,174,70,246,345
175,Miami (OH),21,21,0,1.0,6.76,-5.58,9,0,12,0,8,0,1977,1577,855,676,1258,0.537,237,580,0.409,388,504,0.77,175,754,366,160,78,228,349
176,Michigan,20,19,1,0.95,34.04,11.99,9,1,10,1,5,0,1817,1376,806,632,1227,0.515,183,531,0.345,370,512,0.723,227,839,380,136,118,253,319
177,Michigan State,21,19,2,0.905,24.94,8.94,9,1,11,1,4,1,1670,1334,845,588,1227,0.479,160,446,0.359,334,452,0.739,273,870,396,118,96,256,324
178,Middle Tennessee,19,11,8,0.579,2.67,4.54,5,3,8,1,2,5,1419,1331,775,507,1146,0.442,186,523,0.356,219,319,0.687,213,699,271,120,91,218,338
179,Milwaukee,22,9,13,0.409,-6.13,-0.46,5,6,6,3,2,10,1694,1758,880,616,1396,0.441,167,519,0.322,295,433,0.681,292,811,290,147,64,230,420
180,Minnesota,21,10,11,0.476,9.38,6.19,3,7,9,3,1,5,1504,1437,855,510,1129,0.452,169,511,0.331,315,457,0.689,205,710,375,145,59,229,342
181,Mississippi,20,11,9,0.55,9.82,6.22,3,4,7,3,2,3,1497,1425,805,525,1193,0.44,153,447,0.342,294,397,0.741,218,715,274,139,93,198,387
182,Mississippi State,21,11,10,0.524,8.76,8.91,3,5,7,4,3,2,1633,1636,855,588,1328,0.443,160,525,0.305,297,432,0.688,260,854,261,126,95,245,333
183,Mississippi Valley State,21,1,20,0.048,-28.9,-3.2,0,7,1,5,0,13,1324,1802,850,476,1188,0.401,111,376,0.295,261,362,0.721,194,635,253,160,59,342,427
184,Missouri,21,14,7,0.667,10.68,4.25,4,4,12,1,2,5,1685,1550,845,600,1210,0.496,155,446,0.348,330,494,0.668,248,771,307,149,71,266,377
185,Missouri State,21,12,9,0.571,-2.9,-1.34,6,4,9,3,3,6,1583,1523,850,539,1195,0.451,155,492,0.315,350,513,0.682,249,745,295,152,67,244,366
186,Monmouth,21,10,11,0.476,-3.31,-3.31,4,4,6,3,3,7,1506,1478,850,533,1214,0.439,138,393,0.351,302,418,0.722,237,762,301,157,109,254,340
187,Montana,21,12,9,0.571,0.47,0.41,6,2,8,4,4,5,1677,1528,840,584,1165,0.501,176,486,0.362,333,427,0.78,150,749,340,113,57,285,368
188,Montana State,21,13,8,0.619,1.65,-0.13,7,1,8,1,4,7,1662,1484,845,587,1244,0.472,210,571,0.368,278,367,0.757,208,713,244,141,56,218,350
189,Morehead State,21,11,10,0.524,-12.43,-5.32,7,3,7,1,3,9,1614,1617,850,582,1257,0.463,132,394,0.335,318,443,0.718,279,778,306,144,68,263,370
190,Morgan State,21,8,13,0.381,-20.56,-7.28,4,2,5,5,3,8,1553,1656,842,527,1226,0.43,138,428,0.322,361,493,0.732,233,710,273,110,71,275,463
191,Mount St. Mary's,22,9,13,0.409,-12.33,-5.71,5,6,5,4,4,9,1490,1598,885,522,1201,0.435,174,535,0.325,272,406,0.67,220,795,298,134,71,349,400
