Name,ERA,IP,Age,FIP,xFIP,K_rate,BB_rate,K_9,BB_9,H_9,HR_9,last_name
Tyler Zuber,9.0,2.0,30,0.09,2.33,0.33299999999999996,0.0,13.5,0.0,13.5,0.0,Zuber
Jordan Wicks,9.72,8.1,25,3.09,2.96,0.182,0.023,8.64,1.08,20.52,1.08,Wicks
Patrick Monteverde,9.82,3.2,27,1.73,4.57,0.2,0.05,9.82,2.45,22.09,0.0,Monteverde
Tanner Rainey,10.57,7.2,32,3.48,4.07,0.243,0.162,10.57,7.04,8.22,0.0,Rainey
Edwin Uceta,5.04,44.2,27,4.44,3.52,0.308,0.087,12.09,3.43,8.66,1.81,Uceta
Zac Gallen,5.58,121.0,29,4.86,4.09,0.222,0.08800000000000001,8.63,3.42,8.93,1.71,Gallen
Tyler Holton,3.58,50.1,29,4.4,3.24,0.222,0.04,7.87,1.43,7.87,1.79,Holton
Erik Miller,1.5,30.0,27,3.93,5.07,0.172,0.156,6.6,6.0,7.2,0.0,Miller
Eduard Bazardo,2.75,52.1,29,4.12,4.37,0.22899999999999998,0.11,8.25,3.96,5.85,1.03,Bazardo
Brock Burke,3.51,41.0,28,4.53,4.08,0.19899999999999998,0.085,7.68,3.29,8.78,1.32,Burke
Logan Evans,3.64,59.1,24,4.83,4.64,0.168,0.08199999999999999,6.52,3.19,9.4,1.37,Evans
Jacob Webb,3.77,45.1,31,4.59,4.85,0.18,0.07400000000000001,6.75,2.78,7.54,1.39,Webb
Jackson Jobe,4.22,49.0,22,5.13,5.04,0.179,0.124,7.16,4.96,8.45,1.29,Jobe
Grant Holman,5.09,23.0,25,4.61,4.86,0.165,0.087,6.65,3.52,10.17,1.17,Holman
Casey Legumina,5.68,38.0,28,4.2,4.14,0.262,0.11599999999999999,10.18,4.5,7.82,1.18,Legumina
Tim Hill,2.54,46.0,35,4.2,3.92,0.139,0.067,4.89,2.35,6.65,0.98,Hill
Randy Vasquez,3.73,99.0,26,5.4,5.95,0.11599999999999999,0.109,4.55,4.27,8.45,1.18,Vasquez
Justin Steele,4.76,22.2,29,4.9,3.55,0.228,0.054000000000000006,8.34,1.99,8.34,1.99,Steele
Erick Fedde,5.22,101.2,32,5.09,5.28,0.141,0.105,5.58,4.16,9.38,1.24,Fedde
