Name,ERA,IP,Age,FIP,xFIP,K_rate,BB_rate,K_9,BB_9,H_9,HR_9,last_name
Drey Jameson,3.0,3.0,27,6.09,7.58,0.0,0.231,0.0,9.0,12.0,0.0,Jameson
Eduarniel Nunez,3.86,4.2,26,8.24,8.01,0.095,0.19,3.86,7.71,7.71,1.93,Nunez
Andrew Hoffmann,3.86,4.2,25,6.31,5.76,0.192,0.154,9.64,7.71,13.5,1.93,Hoffmann
A.J. Blubaugh,4.5,4.0,24,7.34,3.45,0.316,0.053,13.5,2.25,11.25,4.5,Blubaugh
Carson Fulmer,4.82,9.1,31,5.99,5.12,0.179,0.128,6.75,4.82,5.79,1.93,Fulmer
Jacob Eder,4.91,18.1,26,5.22,5.29,0.192,0.115,7.36,4.42,7.36,1.47,Eder
Elvis Peguero,4.91,7.1,28,5.55,5.81,0.139,0.111,6.14,4.91,9.82,1.23,Peguero
Dane Dunning,5.02,14.1,30,5.12,5.28,0.19,0.111,7.53,4.4,7.53,1.26,Dunning
Dillon Tate,5.06,5.1,31,6.84,6.36,0.233,0.2,11.81,10.13,11.81,1.69,Tate
Reynaldo Lopez,5.4,5.0,31,6.49,5.68,0.04,0.08,1.8,3.6,16.2,1.8,Lopez
Kevin Kelly,5.4,25.0,27,4.97,4.1,0.168,0.055999999999999994,6.48,2.16,10.44,1.8,Kelly
Caleb Freeman,5.4,3.1,27,6.09,4.43,0.188,0.063,8.1,2.7,13.5,2.7,Freeman
Dylan Dodd,5.68,12.2,27,5.22,4.03,0.18,0.04,6.39,1.42,7.82,2.13,Dodd
Julian Merryweather,5.79,18.2,33,4.65,4.53,0.17,0.125,7.23,5.3,11.09,0.96,Merryweather
Orlando Ribalta,5.87,7.2,27,6.48,5.23,0.182,0.121,7.04,4.7,5.87,2.35,Ribalta
Xzavion Curry,6.0,3.0,26,5.43,7.91,0.063,0.188,3.0,9.0,12.0,0.0,Curry
Logan VanWey,6.23,8.2,26,6.32,5.22,0.11599999999999999,0.07,5.19,3.12,15.58,2.08,VanWey
Scott McGough,6.43,7.0,35,6.52,7.86,0.14300000000000002,0.171,6.43,7.71,7.71,1.29,McGough
Kevin Newman,6.75,4.0,31,9.59,8.31,0.0,0.0,0.0,0.0,9.0,4.5,Newman
Mason Black,6.75,4.0,25,7.09,3.57,0.263,0.0,11.25,0.0,11.25,4.5,Black
Codi Heuer,6.75,1.1,28,11.34,2.71,0.2,0.0,6.75,0.0,6.75,6.75,Heuer
T.J. McFarland,6.89,15.2,36,4.62,4.3,0.095,0.040999999999999995,4.02,1.72,14.94,1.15,McFarland
Anthony Molina,7.27,8.2,23,6.21,4.29,0.158,0.0,6.23,0.0,13.5,3.12,Molina
Miguel Castro,7.5,6.0,30,6.93,6.75,0.14300000000000002,0.179,6.0,7.5,7.5,1.5,Castro
Chris Stratton,7.71,21.0,34,4.9,4.2,0.212,0.096,9.43,4.29,13.71,1.71,Stratton
Tayler Saucedo,7.71,4.2,32,6.09,5.22,0.16,0.12,7.71,5.79,15.43,1.93,Saucedo
Robinson Pina,7.71,2.1,26,9.09,6.72,0.071,0.071,3.86,3.86,19.29,3.86,Pina
Matt Waldron,7.71,4.2,28,8.45,6.94,0.12,0.24,5.79,11.57,11.57,1.93,Waldron
Penn Murfee,7.82,12.2,31,5.54,4.81,0.20600000000000002,0.079,9.24,3.55,13.5,2.13,Murfee
Kenta Maeda,7.88,8.0,37,6.09,6.14,0.18600000000000003,0.14,9.0,6.75,10.13,1.13,Maeda
Mike Clevinger,7.94,5.2,34,6.27,8.11,0.09699999999999999,0.258,4.76,12.71,7.94,0.0,Clevinger
Roddery Munoz,8.1,6.2,25,6.69,4.13,0.233,0.133,9.45,5.4,8.1,2.7,Munoz
Allan Winans,8.53,6.1,29,6.09,6.63,0.1,0.067,4.26,2.84,11.37,1.42,Winans
Connor Gillispie,8.65,26.0,27,5.71,4.94,0.187,0.08900000000000001,7.96,3.81,11.08,2.08,Gillispie
Carl Edwards Jr.,9.0,3.0,33,7.09,4.25,0.154,0.077,6.0,3.0,12.0,3.0,Jr.
Julian Fernandez,9.0,2.0,29,10.09,5.08,0.111,0.111,4.5,4.5,9.0,4.5,Fernandez
Nick Hernandez,9.0,2.0,30,10.59,6.33,0.16699999999999998,0.16699999999999998,9.0,9.0,18.0,4.5,Hernandez
Logan Porter,9.0,1.0,29,16.09,4.58,0.0,0.0,0.0,0.0,18.0,9.0,Porter
Will Wilson,9.0,2.0,26,9.59,6.07,0.0,0.0,0.0,0.0,9.0,4.5,Wilson
Isaiah Campbell,9.0,2.0,27,9.59,5.33,0.0,0.0,0.0,0.0,18.0,4.5,Campbell
Blas Castano,9.0,3.0,26,9.76,8.9,0.063,0.125,3.0,6.0,12.0,3.0,Castano
Luis Contreras,9.0,9.0,29,5.76,5.69,0.233,0.14,10.0,6.0,11.0,2.0,Contreras
Robert Stock,10.13,2.2,35,11.72,9.08,0.067,0.267,3.38,13.5,13.5,3.38,Stock
Anthony Misiewicz,10.38,4.1,30,8.86,5.27,0.25,0.15,10.38,6.23,8.31,4.15,Misiewicz
Wander Suero,10.8,5.0,33,7.49,5.27,0.23800000000000002,0.095,9.0,3.6,9.0,3.6,Suero
Troy Melton,10.8,5.0,24,6.69,3.28,0.292,0.083,12.6,3.6,12.6,3.6,Melton
Triston McKenzie,11.12,5.2,27,7.68,7.49,0.133,0.233,6.35,11.12,11.12,1.59,McKenzie
Ian Anderson,11.57,9.1,27,6.41,5.7,0.157,0.13699999999999998,7.71,6.75,16.39,1.93,Anderson
Bobby Miller,12.6,5.0,26,7.29,4.18,0.25,0.071,12.6,3.6,19.8,3.6,Miller
Andrew Walters,13.5,1.1,24,9.84,3.45,0.33299999999999996,0.0,13.5,0.0,13.5,6.75,Walters
Mason Thompson,13.5,4.0,27,6.09,7.96,0.125,0.25,6.75,13.5,13.5,0.0,Thompson
Luke Little,13.5,0.2,24,21.09,23.33,0.0,0.667,0.0,54.0,0.0,0.0,Little
Michael Mercado,15.0,3.0,26,8.76,6.41,0.2,0.2,12.0,12.0,21.0,3.0,Mercado
Jonah Bride,15.0,6.0,29,7.09,8.9,0.054000000000000006,0.081,3.0,4.5,21.0,1.5,Bride
Enrique Hernandez,15.19,5.1,33,9.66,10.01,0.027000000000000003,0.21600000000000003,1.69,13.5,18.56,1.69,Hernandez
Javier Sanoja,19.8,5.0,22,9.49,8.17,0.0,0.063,0.0,3.6,28.8,3.6,Sanoja
Jhonny Pereda,21.0,3.0,29,7.43,6.07,0.15,0.1,9.0,6.0,27.0,3.0,Pereda
Hunter Stratton,23.63,2.2,28,10.59,9.63,0.048,0.095,3.38,6.75,33.75,3.38,Stratton
Pablo Reyes,27.0,1.0,31,16.09,7.56,0.0,0.0,0.0,0.0,45.0,9.0,Reyes
Jayvien Sandridge,27.0,0.2,26,30.09,12.83,0.33299999999999996,0.33299999999999996,27.0,27.0,13.5,13.5,Sandridge
Geoff Hartlieb,30.86,2.1,31,15.95,6.72,0.21100000000000002,0.21100000000000002,15.43,15.43,30.86,7.71,Hartlieb
Gary Sanchez,36.0,1.0,32,22.09,13.56,0.0,0.14300000000000002,0.0,9.0,18.0,9.0,Sanchez
Amed Rosario,36.0,1.0,29,22.09,12.07,0.0,0.2,0.0,18.0,45.0,9.0,Rosario
Jorge Mateo,45.0,1.0,30,25.09,16.56,0.0,0.182,0.0,18.0,45.0,9.0,Mateo
Jose Caballero,54.0,1.0,28,32.09,13.55,0.0,0.111,0.0,9.0,45.0,18.0,Caballero
Emmanuel Rivera,72.0,1.0,29,22.09,16.55,0.0,0.154,0.0,18.0,72.0,9.0,Rivera
Zach Eflin,5.78,67.0,31,5.42,4.21,0.16399999999999998,0.042,6.31,1.61,10.75,2.15,Eflin
Bryce Elder,5.63,84.2,26,5.14,4.07,0.184,0.081,7.44,3.3,10.63,1.7,Elder
Tony Gonsolin,5.0,36.0,31,5.98,4.47,0.242,0.115,9.5,4.5,8.25,2.25,Gonsolin
Chris Murphy,2.31,11.2,27,6.44,4.5,0.184,0.08199999999999999,6.94,3.09,6.17,2.31,Murphy
Chase Dollander,6.68,68.2,23,5.95,4.89,0.168,0.107,6.82,4.33,9.7,1.97,Dollander
Tyler Ferguson,6.69,35.0,31,4.84,5.14,0.212,0.141,8.49,5.66,7.97,1.03,Ferguson
Lance McCullers Jr.,6.9,44.1,31,5.84,4.92,0.231,0.134,10.15,5.89,9.74,1.83,Jr.
Jose Suarez,2.45,7.1,27,6.37,6.22,0.16699999999999998,0.233,6.14,8.59,3.68,1.23,Suarez
Roki Sasaki,4.72,34.1,23,6.15,5.75,0.156,0.14300000000000002,6.29,5.77,7.6,1.57,Sasaki
Tommy Kahnle,4.73,40.0,35,4.54,4.16,0.20600000000000002,0.091,7.65,3.38,7.2,1.35,Kahnle
Richard Fitts,4.86,37.0,25,5.5,4.03,0.2,0.063,7.78,2.43,9.0,2.19,Fitts
Seth Halvorsen,5.02,37.2,25,5.08,4.05,0.213,0.11,8.36,4.3,9.56,1.67,Halvorsen
Cam Booser,5.11,24.2,33,5.48,5.09,0.24100000000000002,0.125,9.85,5.11,7.66,1.82,Booser
Gregory Santos,5.14,7.0,25,6.52,7.8,0.0,0.222,0.0,10.29,10.29,0.0,Santos
Angel Chivilli,5.91,35.0,22,5.29,4.3,0.16399999999999998,0.10099999999999999,6.69,4.11,10.29,1.54,Chivilli
Ethan Roberts,6.0,9.0,27,7.09,5.08,0.154,0.051,6.0,2.0,10.0,3.0,Roberts
Ben Joyce,6.23,4.1,24,6.32,6.08,0.05,0.05,2.08,2.08,10.38,2.08,Joyce
Ryan Johnson,7.36,14.2,22,5.48,3.86,0.222,0.069,9.82,3.07,14.73,2.45,Johnson
Luis Peralta,7.56,8.1,24,6.69,7.64,0.114,0.182,5.4,8.64,10.8,1.08,Peralta
Bradley Blalock,8.67,27.0,24,6.32,5.36,0.073,0.057,3.0,2.33,13.67,2.0,Blalock
Jose Ruiz,8.82,16.1,30,5.3,4.55,0.19,0.114,8.27,4.96,12.67,1.65,Ruiz
Ryan Loutos,11.32,10.1,26,7.06,6.56,0.109,0.145,5.23,6.97,12.19,1.74,Loutos
Colin Poche,12.54,9.1,31,6.63,7.31,0.212,0.26899999999999996,10.61,13.5,11.57,0.96,Poche
Erik Swanson,15.19,5.1,31,10.22,8.98,0.1,0.16699999999999998,5.06,8.44,13.5,3.38,Swanson
Dan Altavilla,1.48,24.1,32,5.39,4.54,0.17,0.106,5.92,3.7,5.18,1.48,Altavilla
Hunter Bigge,2.4,15.0,27,6.16,4.48,0.2,0.083,7.2,3.0,6.6,2.4,Bigge
Logan Gillaspie,2.57,7.0,28,5.95,5.37,0.129,0.129,5.14,5.14,9.0,1.29,Gillaspie
Carson Seymour,3.0,6.0,26,8.09,2.59,0.231,0.038,9.0,1.5,12.0,4.5,Seymour
Brandon Waddell,4.0,27.0,31,4.8,4.91,0.154,0.077,6.0,3.0,8.67,1.33,Waddell
Tommy Henry,4.05,6.2,27,7.44,2.49,0.308,0.038,10.8,1.35,8.1,4.05,Henry
Paul Gervase,4.26,6.1,25,9.72,6.86,0.2,0.16699999999999998,8.53,7.11,8.53,4.26,Gervase
Anthony DeSclafani,4.66,19.1,35,5.37,3.7,0.259,0.049,9.78,1.86,8.84,2.33,DeSclafani
Jesse Hahn,5.4,5.0,35,8.09,5.79,0.12,0.2,5.4,9.0,10.8,1.8,Hahn
Jose Urena,5.4,18.1,33,6.37,5.42,0.122,0.061,4.91,2.45,11.29,2.45,Urena
Jose Castillo,5.6,17.2,29,5.58,4.64,0.191,0.10099999999999999,8.66,4.58,13.25,1.53,Castillo
Brandon Young,7.34,30.2,26,6.03,4.53,0.19899999999999998,0.099,8.22,4.11,11.74,2.35,Young
Caden Dana,7.5,6.0,21,7.93,5.83,0.207,0.172,9.0,7.5,10.5,3.0,Dana
Kyle Nicolas,7.5,12.0,26,6.18,6.49,0.133,0.15,6.0,6.75,9.75,1.5,Nicolas
Cionel Perez,8.31,21.2,29,5.72,5.09,0.191,0.16399999999999998,8.72,7.48,11.63,1.25,Perez
Sam Long,8.82,16.1,29,5.66,5.28,0.188,0.125,8.27,5.51,11.02,1.65,Long
Craig Yoho,9.0,7.0,25,6.95,6.8,0.147,0.20600000000000002,6.43,9.0,10.29,1.29,Yoho
Samuel Aldegheri,10.38,4.1,23,8.4,8.15,0.16,0.2,8.31,10.38,12.46,2.08,Aldegheri
J.P. Feyereisen,11.25,4.0,32,8.34,4.82,0.174,0.043,9.0,2.25,24.75,4.5,Feyereisen
Joe La Sorsa,11.57,4.2,27,12.31,6.82,0.042,0.083,1.93,3.86,19.29,5.79,Sorsa
Anthony Maldonado,12.0,6.0,27,9.76,5.74,0.212,0.152,10.5,7.5,15.0,4.5,Maldonado
Troy Taylor,12.15,6.2,23,8.19,7.65,0.054000000000000006,0.081,2.7,4.05,18.9,2.7,Taylor
Miguel Rojas,12.6,5.0,36,12.69,7.87,0.0,0.071,0.0,3.6,19.8,5.4,Rojas
Nate Pearson,12.66,10.2,28,7.22,7.99,0.102,0.153,5.06,7.59,15.19,1.69,Pearson
Forrest Whitley,13.5,12.0,27,6.59,5.95,0.182,0.121,9.0,6.0,14.25,2.25,Whitley
Connor Thomas,20.25,5.1,27,10.22,4.86,0.161,0.065,8.44,3.38,20.25,5.06,Thomas
Chase Shugart,3.69,39.0,28,5.2,5.37,0.138,0.094,5.08,3.46,6.92,1.38,Shugart
Keider Montero,4.28,69.1,24,5.26,4.56,0.16899999999999998,0.084,6.49,3.25,9.22,1.69,Montero
Daniel Lynch IV,2.59,41.2,28,5.13,5.22,0.161,0.122,6.26,4.75,7.99,1.08,IV
Carlos Vargas,3.97,47.2,25,4.41,4.49,0.162,0.09,6.42,3.59,9.63,0.94,Vargas
Landon Knack,5.12,38.2,27,6.2,4.8,0.203,0.105,8.15,4.19,9.08,2.33,Knack
Kyle Hart,5.29,32.1,32,5.75,5.21,0.157,0.052000000000000005,5.85,1.95,8.91,2.23,Hart
Yuki Matsui,4.89,38.2,29,4.96,4.64,0.243,0.124,9.54,4.89,8.15,1.63,Matsui
Mick Abel,5.04,25.0,23,6.25,4.7,0.19399999999999998,0.083,7.56,3.24,9.0,2.52,Abel
Jose Fermin,5.21,19.0,23,6.04,4.58,0.27,0.135,11.37,5.68,9.0,2.37,Fermin
Joe Ross,5.28,44.1,32,5.12,4.46,0.171,0.08,6.9,3.25,10.35,1.62,Ross
Yoendrys Gomez,6.62,17.2,25,6.21,6.19,0.151,0.151,6.62,6.62,10.19,1.53,Gomez
Tayler Scott,6.66,25.2,33,5.31,5.03,0.18899999999999997,0.131,8.06,5.61,10.17,1.4,Scott
Shaun Anderson,7.59,10.2,30,6.94,4.3,0.2,0.06,8.44,2.53,13.5,3.38,Anderson
Blade Tidwell,9.0,15.0,24,7.43,6.44,0.128,0.128,6.0,6.0,13.8,2.4,Tidwell
Anthony Veneziano,4.71,21.0,27,5.24,4.39,0.2,0.1,8.57,4.29,10.71,1.71,Veneziano
Genesis Cabrera,5.76,25.0,28,5.57,4.66,0.192,0.067,7.2,2.52,9.0,2.16,Cabrera
Garrett McDaniels,5.91,10.2,25,6.94,5.2,0.12,0.16,5.06,6.75,10.97,1.69,McDaniels
Jose Leclerc,6.0,9.0,31,7.32,5.3,0.174,0.109,8.0,5.0,13.0,3.0,Leclerc
Zach Brzykcy,7.4,20.2,25,6.33,4.87,0.22899999999999998,0.10400000000000001,9.58,4.35,10.45,2.61,Brzykcy
Jesse Chavez,9.0,8.0,41,9.47,5.95,0.18600000000000003,0.11599999999999999,9.0,5.63,15.75,4.5,Chavez
Tom Harrington,10.13,8.0,23,8.09,5.45,0.179,0.128,7.88,5.63,12.38,3.38,Harrington
Richard Lovelady,10.8,8.1,29,7.53,5.84,0.182,0.114,8.64,5.4,10.8,2.16,Lovelady
Ryan Fernandez,11.42,8.2,27,6.21,5.62,0.156,0.111,7.27,5.19,15.58,2.08,Fernandez
Eli Morgan,12.27,7.1,29,8.55,5.87,0.114,0.086,4.91,3.68,14.73,3.68,Morgan
Michel Otanez,13.5,5.1,27,9.09,6.45,0.214,0.179,10.13,8.44,11.81,3.38,Otanez
Clayton Beeter,14.73,3.2,26,12.91,9.89,0.05,0.2,2.45,9.82,12.27,4.91,Beeter
Chase Petty,19.5,6.0,22,11.76,7.5,0.175,0.2,10.5,12.0,21.0,4.5,Petty
Walker Buehler,5.72,85.0,30,5.67,4.61,0.17600000000000002,0.094,7.09,3.81,9.85,1.8,Buehler
Tim Herrin,3.99,29.1,28,5.27,5.72,0.212,0.16699999999999998,8.59,6.75,6.75,0.92,Herrin
Emerson Hancock,5.47,77.1,26,5.6,4.8,0.158,0.09,6.17,3.49,9.43,1.75,Hancock
Luke Jackson,4.11,35.0,33,5.01,4.84,0.158,0.125,6.17,4.89,8.23,1.03,Jackson
Trent Thornton,5.12,38.2,31,5.01,4.84,0.174,0.084,6.75,3.26,8.84,1.4,Thornton
John King,5.35,38.2,30,5.14,3.82,0.133,0.067,5.59,2.79,11.87,1.63,King
Zachary Agnos,5.83,29.1,24,5.58,5.4,0.134,0.11,5.22,4.3,8.9,1.53,Agnos
Gunnar Hoglund,6.4,32.1,25,6.71,4.67,0.165,0.079,6.4,3.06,10.58,2.78,Hoglund
George Soriano,7.97,20.1,26,6.78,4.41,0.221,0.11599999999999999,9.3,4.87,11.07,2.66,Soriano
Carson Palmquist,7.63,30.2,24,7.1,6.24,0.15,0.122,6.46,5.28,10.27,2.35,Palmquist
Tanner Houck,8.04,43.2,29,6.12,4.64,0.158,0.084,6.6,3.5,11.75,2.06,Houck
Chayce McDermott,8.22,7.2,26,9.88,7.32,0.179,0.205,8.22,9.39,9.39,3.52,McDermott
Elvin Rodriguez,8.68,18.2,27,7.43,5.51,0.20199999999999999,0.083,8.2,3.38,11.09,3.38,Rodriguez
Zach Pop,14.85,6.2,28,11.34,4.66,0.077,0.051,4.05,2.7,20.25,5.4,Pop
Joey Estes,15.43,7.0,23,12.09,8.5,0.11900000000000001,0.14300000000000002,6.43,7.71,19.29,5.14,Estes
Noah Davis,19.5,6.0,28,11.43,6.42,0.22899999999999998,0.14300000000000002,12.0,7.5,15.0,4.5,Davis
Scott Blewett,5.48,44.1,29,5.44,4.48,0.18,0.09300000000000001,7.11,3.65,9.14,1.83,Blewett
Porter Hodge,6.85,23.2,24,5.8,4.14,0.23800000000000002,0.114,9.51,4.56,9.51,2.28,Hodge
Beau Brieske,6.55,22.0,27,6.23,5.51,0.155,0.11699999999999999,6.55,4.91,9.82,2.05,Brieske
Nestor Cortes,9.0,8.0,30,11.84,6.33,0.21100000000000002,0.184,9.0,7.88,7.88,5.63,Cortes
Lucas Sims,13.86,12.1,31,8.2,7.66,0.18100000000000002,0.19399999999999998,9.49,10.22,10.22,1.46,Sims
Ryan Rolison,7.45,29.0,27,6.85,4.96,0.131,0.1,5.28,4.03,11.79,2.48,Rolison
Eduardo Salazar,8.38,29.0,27,6.4,4.91,0.153,0.107,7.14,4.97,14.59,2.17,Salazar
Colin Holderman,9.0,15.0,29,6.83,5.32,0.149,0.149,6.6,6.6,12.0,1.8,Holderman
Alexis Diaz,10.29,7.0,28,12.38,7.93,0.10800000000000001,0.135,5.14,6.43,11.57,5.14,Diaz
Alejandro Carrillo,13.5,4.2,28,14.45,6.82,0.182,0.091,7.71,3.86,11.57,7.71,Carrillo
Didier Fuentes,13.85,13.0,20,9.09,5.62,0.174,0.087,8.31,4.15,15.92,4.15,Fuentes
Joe Mantiply,15.83,9.2,34,9.4,5.3,0.138,0.052000000000000005,7.45,2.79,24.21,4.66,Mantiply
Ryan Zeferjahn,5.59,37.0,27,5.8,4.24,0.272,0.136,11.19,5.59,8.51,2.19,Zeferjahn
Osvaldo Bido,5.86,55.1,29,6.44,5.89,0.14300000000000002,0.09699999999999999,6.02,4.07,11.06,2.11,Bido
Scott Alexander,6.11,17.2,35,7.56,5.57,0.099,0.111,4.08,4.58,11.72,2.55,Alexander
Alek Jacob,6.39,25.1,27,6.57,5.72,0.156,0.08199999999999999,6.75,3.55,11.72,2.13,Jacob
Jackson Rutledge,6.55,45.1,26,6.27,5.0,0.187,0.081,7.74,3.38,10.92,2.38,Rutledge
Jonathan Loaisiga,4.91,25.2,30,6.02,3.92,0.198,0.069,8.06,2.81,10.17,2.45,Loaisiga
Bryse Wilson,6.95,45.1,27,6.45,5.43,0.124,0.087,5.36,3.77,13.3,2.18,Wilson
Kyle Gibson,16.78,12.1,37,10.55,5.59,0.13699999999999998,0.096,7.3,5.11,21.16,5.11,Gibson
Chad Green,4.29,42.0,34,6.31,4.9,0.185,0.073,7.07,2.79,9.43,2.57,Green
Bowden Francis,6.05,64.0,29,6.81,5.1,0.188,0.094,7.59,3.8,9.98,2.67,Francis
