game_id,game_date,home_team,away_team,home_win_pct,away_win_pct,home_pythagorean,away_pythagorean,home_ops,away_ops,home_era,away_era,home_fip,away_fip,home_k_rate,away_k_rate,home_bb_rate,away_bb_rate,home_iso,away_iso,home_recent_form,away_recent_form,recent_form_diff,enhanced_form_momentum,win_pct_diff,pythagorean_diff,run_diff_diff,era_diff,ops_diff,fip_diff,k_rate_diff,bb_rate_diff,iso_diff,home_field_centered,rest_advantage,bullpen_fatigue_diff,home_bullpen_fatigue,away_bullpen_fatigue,games_played_diff,quality_home_advantage,offensive_edge,home_off_def_combo,away_off_def_combo,home_score,away_score,h2h_advantage,h2h_games_sample,series_game_number,series_fatigue,stadium_run_factor,is_dome_game,cross_country_travel,seasonal_offense_boost,pitcher_era_advantage,pitcher_fip_advantage,pitcher_k_rate_advantage,pitcher_control_advantage,pitcher_experience_advantage,pitcher_quality_advantage,pitcher_combined_advantage,is_weekend_game,is_friday_game,season_fatigue_factor,late_season_boost,total_runs,home_wins,over_8_5,total_runs_binned,total_runs_category,over_7_5,over_9_5,under_7_5,f5_total,f5_over_4_5,f5_over_5_5,margin,close_game,blowout
778868,2025-03-22,Minnesota Twins,Toronto Blue Jays,0.4803921568627451,0.5922330097087378,0.4897388229482196,0.5418170594346077,0.713,0.745,4.17,4.09,3.8,4.27,0.223,0.17300000000000001,0.079,0.08800000000000001,0.16,0.15,0.3344076658992164,0.6243756448759606,-0.28996797897674426,-0.03017516132377831,-0.11184085284599271,-0.052078236486388096,-48,-0.08000000000000007,-0.03200000000000003,0.46999999999999975,0.04999999999999999,0.009000000000000008,0.010000000000000009,0.09230864033444053,0.0,0.0,1.0,1.0,-1,-0.004807271201073936,0.0025600000000000045,1.0430000000000001,1.1550000000000002,1.0,2.0,-0.5,2,1,0.0,1.0,1,0.0,-0.050000000000000044,-0.17000000000000037,-0.06500000000000039,-0.126,-0.11500000000000003,0.161,-0.08489166666666673,-0.1139337500000002,1,0,-0.03333333333333333,0,3.0,0,0,low,1,0,0,1,1.7999999999999998,0,0,1.0,1,0
778945,2025-03-23,Toronto Blue Jays,Pittsburgh Pirates,0.5922330097087378,0.4077669902912621,0.5418170594346077,0.4191702823667894,0.745,0.643,4.09,3.84,4.27,3.9,0.17300000000000001,0.23800000000000002,0.08800000000000001,0.084,0.15,0.11,0.7125179832213777,0.32579752030874504,0.3867204629126327,0.09963703904767152,0.1844660194174757,0.12264677706781829,101,-0.25,0.10199999999999998,-0.36999999999999966,-0.065,-0.0040000000000000036,0.039999999999999994,0.21999999999999997,0.0,-0.4,1.0,0.6,-1,0.02698229095492002,-0.025499999999999995,1.1550000000000002,1.303,2.0,1.0,-0.5,2,1,0.0,0.99,1,0.0,-0.050000000000000044,-0.030000000000000027,0.44500000000000006,0.136,0.12000000000000004,0.12100000000000008,0.19273333333333326,0.17786000000000002,1,0,-0.027777777777777776,0,3.0,1,0,low,1,0,0,1,1.7999999999999998,0,0,1.0,1,0
778556,2025-03-27,Toronto Blue Jays,Baltimore Orioles,0.5922330097087378,0.4411764705882353,0.5418170594346077,0.38750965661632164,0.745,0.698,4.09,4.99,4.27,4.56,0.17300000000000001,0.235,0.08800000000000001,0.07400000000000001,0.15,0.158,0.7688371090623695,0.3147874472241558,0.45404966183821366,0.011695087056320094,0.15105653912050254,0.15430740281828603,146,0.9000000000000004,0.04700000000000004,0.29000000000000004,-0.06199999999999997,-0.013999999999999999,-0.008000000000000007,0.21999999999999997,0.46211715726000974,0.6,0.0,0.6,2,0.03394762862002292,0.04230000000000005,1.1550000000000002,0.20800000000000018,2.0,12.0,-0.16666666666666669,6,1,0.0,0.99,1,0.0,-0.050000000000000044,0.6400000000000001,0.71,0.07200000000000006,-0.19,-0.17,0.09741666666666676,0.33801250000000005,0,0,-0.005555555555555556,0,14.0,0,1,very_high,3,1,1,0,8.4,1,1,10.0,0,1
778549,2025-03-28,Toronto Blue Jays,Baltimore Orioles,0.5922330097087378,0.4411764705882353,0.5418170594346077,0.38750965661632164,0.745,0.698,4.09,4.99,4.27,4.56,0.17300000000000001,0.235,0.08800000000000001,0.07400000000000001,0.15,0.158,0.5137717845909384,0.5061891336375872,0.0075826509533512,-0.09886701482687671,0.15105653912050254,0.15430740281828603,146,0.9000000000000004,0.04700000000000004,0.29000000000000004,-0.06199999999999997,-0.013999999999999999,-0.008000000000000007,0.21999999999999997,0.0,-0.19999999999999998,0.4,0.20000000000000004,0,0.03394762862002292,0.04230000000000005,1.1550000000000002,0.20800000000000018,8.0,2.0,-0.25,8,3,0.04,0.99,1,0.0,-0.050000000000000044,0.7350000000000003,0.45499999999999985,0.014000000000000012,0.14000000000000007,0.21100000000000008,0.2624,0.3606600000000001,0,1,0.0,0,10.0,1,1,high,0,1,1,0,6.0,1,1,6.0,0,1
778536,2025-03-29,Toronto Blue Jays,Baltimore Orioles,0.5922330097087378,0.4411764705882353,0.5418170594346077,0.38750965661632164,0.745,0.698,4.09,4.99,4.27,4.56,0.17300000000000001,0.235,0.08800000000000001,0.07400000000000001,0.15,0.158,0.648940828237567,0.38436725908307423,0.2645735691544928,0.23032642577651763,0.15105653912050254,0.15430740281828603,146,0.9000000000000004,0.04700000000000004,0.29000000000000004,-0.06199999999999997,-0.013999999999999999,-0.008000000000000007,0.21999999999999997,0.0,-0.19999999999999998,0.4,0.20000000000000004,0,0.03394762862002292,0.04230000000000005,1.1550000000000002,0.20800000000000018,5.0,9.0,-0.09999999999999998,10,5,0.08,0.99,1,0.0,-0.050000000000000044,-0.54,-0.7299999999999998,0.09399999999999997,-0.03500000000000003,-0.871,-0.2410250000000001,-0.3401037499999999,1,0,0.005555555555555556,0,14.0,0,1,very_high,3,1,1,0,8.4,1,1,4.0,0,0
778525,2025-03-30,Toronto Blue Jays,Baltimore Orioles,0.5922330097087378,0.4411764705882353,0.5418170594346077,0.38750965661632164,0.745,0.698,4.09,4.99,4.27,4.56,0.17300000000000001,0.235,0.08800000000000001,0.07400000000000001,0.15,0.158,0.48444908011320054,0.524221631613687,-0.03977255150048642,0.12141014382378007,0.15105653912050254,0.15430740281828603,146,0.9000000000000004,0.04700000000000004,0.29000000000000004,-0.06199999999999997,-0.013999999999999999,-0.008000000000000007,0.21999999999999997,0.0,-0.19999999999999996,0.8,0.6000000000000001,0,0.03394762862002292,0.04230000000000005,1.1550000000000002,0.20800000000000018,3.0,1.0,-0.16666666666666669,10,7,0.12,0.99,1,0.0,-0.050000000000000044,0.33000000000000007,0.7249999999999999,0.16800000000000004,0.010000000000000009,0.17200000000000004,0.26621666666666666,0.3387825,1,0,0.011111111111111112,0,4.0,1,0,low,1,0,0,1,2.4,0,0,2.0,1,0
778507,2025-03-31,Toronto Blue Jays,Washington Nationals,0.5922330097087378,0.4019607843137255,0.5418170594346077,0.3902439024390244,0.745,0.7,4.09,5.2,4.27,4.47,0.17300000000000001,0.205,0.08800000000000001,0.078,0.15,0.144,0.6187155226179587,0.3367990713823292,0.28191645123562953,0.24223323993569765,0.19027222539501232,0.15157315699558327,149,1.1100000000000003,0.04500000000000004,0.20000000000000018,-0.03199999999999997,-0.010000000000000009,0.006000000000000005,0.21999999999999997,0.0,0.0,1.0,1.0,-2,0.033346094539028315,0.04995000000000006,1.1550000000000002,0.0,5.0,2.0,0.0,0,1,0.0,0.99,1,0.0,-0.050000000000000044,-0.6000000000000001,-1.38,-0.13,-0.10500000000000002,-0.14,-0.2128750000000001,-0.56868125,0,0,0.016666666666666666,0,7.0,1,0,medium,2,0,0,1,4.2,0,0,3.0,1,0
778491,2025-04-01,Toronto Blue Jays,Washington Nationals,0.5922330097087378,0.4019607843137255,0.5418170594346077,0.3902439024390244,0.745,0.7,4.09,5.2,4.27,4.47,0.17300000000000001,0.205,0.08800000000000001,0.078,0.15,0.144,0.7041434775893848,0.2590862751007274,0.4450572024886574,0.20550833865864626,0.19027222539501232,0.15157315699558327,149,1.1100000000000003,0.04500000000000004,0.20000000000000018,-0.03199999999999997,-0.010000000000000009,0.006000000000000005,0.21999999999999997,0.0,0.0,1.0,1.0,0,0.033346094539028315,0.04995000000000006,1.1550000000000002,0.0,5.0,3.0,0.5,2,3,0.04,0.99,1,0.0,-0.050000000000000044,-0.48,0.2650000000000001,-0.07399999999999995,0.25,-0.5409999999999999,-0.03489999999999993,-0.03628499999999995,0,0,0.022222222222222223,0,8.0,1,0,medium,2,1,0,0,4.8,1,0,2.0,1,0
778478,2025-04-02,Toronto Blue Jays,Washington Nationals,0.5922330097087378,0.4019607843137255,0.5418170594346077,0.3902439024390244,0.745,0.7,4.09,5.2,4.27,4.47,0.17300000000000001,0.205,0.08800000000000001,0.078,0.15,0.144,0.7764524813888415,0.20326375974549885,0.5731887216433427,0.23914161588452362,0.19027222539501232,0.15157315699558327,149,1.1100000000000003,0.04500000000000004,0.20000000000000018,-0.03199999999999997,-0.010000000000000009,0.006000000000000005,0.21999999999999997,0.0,0.0,1.0,1.0,0,0.033346094539028315,0.04995000000000006,1.1550000000000002,0.0,4.0,2.0,0.5,4,5,0.08,0.99,1,0.0,-0.050000000000000044,-1.1150000000000002,-1.125,-0.12,-0.13500000000000006,-0.91,-0.4822916666666667,-0.6765937500000001,0,0,0.027777777777777776,0,6.0,1,0,low,1,0,0,1,3.5999999999999996,0,0,2.0,1,0
778465,2025-04-04,New York Mets,Toronto Blue Jays,0.5728155339805825,0.5922330097087378,0.5523643740308551,0.5418170594346077,0.733,0.745,3.59,4.09,3.81,4.27,0.21,0.17300000000000001,0.092,0.08800000000000001,0.169,0.15,0.5589369267022544,0.8343310387919161,-0.2753941120896617,-0.04423205238474173,-0.01941747572815533,0.01054731459624747,6,0.5,-0.01200000000000001,0.4599999999999995,0.03699999999999998,-0.00399999999999999,0.019000000000000017,0.15558662207631502,0.0,0.0,1.0,1.0,0,0.0016410210500063561,-0.006000000000000005,1.6430000000000002,1.1550000000000002,5.0,0.0,0.0,0,1,0.0,0.9309999999999999,0,0.0,-0.050000000000000044,0.029999999999999805,0.22999999999999998,0.11599999999999999,-0.1650000000000001,-0.4810000000000001,0.006391666666666573,0.06440874999999992,0,1,0.03888888888888889,0,5.0,1,0,low,1,0,0,1,3.0,0,0,5.0,0,0
